064 -19.702421 -76.511703 -16.730766   9.579181
065 -22.687843 -76.433060 -17.057867   9.818898
066 -23.763088 -76.195709 -14.919408   9.807067
067 -24.716557 -76.026108 -16.191072   9.890426
068 -14.829910 -75.542694 -18.018940   8.737270
069 -12.757169 -74.318100 -17.741095   7.859718
070 -20.286491 -76.498703 -18.061642   9.671892
071 -15.571448 -75.618408 -19.063524   8.845228
072 -13.569238 -73.869263 -19.066734   7.340534
073 -18.051609 -76.318802 -18.903675   9.485421
074 -22.610144 -75.958527 -18.794712   9.355265
075 -24.474068 -75.509689 -18.760008   9.278762
076 -16.989309 -75.594391 -19.696007   8.829219
077 -15.514068 -74.624298 -19.898113   7.920010
078 -21.107880 -75.292206 -19.759159   8.577848
079 -23.438278 -74.992416 -19.606686   8.527513
080 -17.349045 -74.671799 -20.318932   7.950585
081 -20.453522 -74.142990 -20.699703   7.441517
082 -22.661175 -74.382538 -20.549612   7.796946
083 -16.163849 -75.426620 -22.349915   8.708916
084 -16.186535 -75.682037 -23.246935   8.862500
085 -15.665507 -74.662399 -21.531298   8.004762
086 -18.142715 -74.238632 -21.259562   7.562474
087 -14.385142 -75.112198 -22.720402   8.513395
088 -15.041866 -75.425690 -25.315699   8.523446
089 -17.474573 -75.917175 -24.914417   8.827064
090 -20.756416 -74.437042 -21.533840   7.733373
091 -22.651489 -74.735245 -21.816841   8.094010
092 -26.682716 -75.528549 -23.776487   9.348023
093 -24.002493 -73.680069 -21.946808   7.200441
094 -26.340014 -74.635223 -22.835154   8.512129
095 -27.893711 -74.800812 -23.810369   9.011351
096 -16.932453 -75.600037 -26.894018   8.347112
097 -27.130640 -75.875122 -26.162405   9.656011
098 -28.647738 -75.227264 -26.213413   9.497722
099 -28.833290 -74.422379 -24.714815   8.908371
100 -18.277229 -75.350021 -28.018616   7.976453
101 -20.814192 -75.861847 -27.264080   8.586034
102 -22.385742 -75.867126 -27.885328   8.733115
103 -24.702709 -76.101730 -28.648096   9.335064
104 -26.830177 -76.203903 -28.589670   9.934618
105 -29.662992 -73.880447 -26.180548   8.639632
106 -19.819588 -74.998276 -28.496611   7.627030
107 -21.351412 -75.421799 -28.594242   8.161313
108 -23.280289 -75.789902 -28.831423   8.776753
109 -28.952681 -75.757782 -29.422548  10.242552
110 -29.879972 -74.887222 -27.544285   9.635649
111 -22.653084 -74.983765 -29.160297   7.888487
112 -21.565811 -74.717575 -29.023802   7.485498
113 -23.673859 -75.575363 -29.686277   8.656417
114 -26.303501 -76.137756 -30.300930   9.852948
115 -24.709932 -75.608704 -30.509129   8.943285
116 -30.576986 -75.043228 -30.254538  10.318106
117 -30.691784 -74.297165 -28.324953   9.481070
118 -27.968100 -75.974594 -31.097343  10.312931
119 -31.848145 -74.126801 -30.837500  10.218525
120 -13.718112 -73.723541 -29.420822   7.157021
121 -22.210192 -74.573349 -29.538265   7.433981
122 -31.334354 -74.515137 -32.149693  10.577215
123 -12.144017 -74.267426 -31.043737   8.293273
124 -23.809132 -75.315430 -30.180374   8.454405
125 -29.951780 -75.177719 -32.490559  10.600966
126 -10.897454 -74.449936 -32.922539   8.974440
127 -13.087163 -74.986923 -34.176682   9.291858
128 -14.884563 -75.399109 -32.898975   9.161860
129 -15.719133 -75.095352 -35.752285   9.183388
130 -11.036654 -74.591125 -34.710812   9.351840
131 -14.082624 -74.301331 -37.430828   8.999780
132 -17.510904 -75.167801 -38.416485   9.762454
133 -15.861034 -74.551285 -39.750191   9.739726
134 -19.516026 -75.469147 -38.904942  10.254851
135 -29.092455 -74.788712 -35.631702  10.698225
136 -28.006565 -74.169128 -38.113003  10.679678
137 -29.663069 -73.599976 -37.505249  10.711020
138 -17.798754 -74.840973 -40.761280  10.407464
139 -19.846594 -75.002945 -40.779991  10.711376
